#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
31532	9940378	5154483	5	0	102	100604	-1158
31533	9940379	5154483	5	0	102	100601	-1155
31534	9940380	5154483	3	0	102	100606	-1159
31535	9940382	5154483	7	0	102	100599	-1153
31536	9940384	5154483	0	0	102	100599	-1153
31537	9940385	5154483	0	0	102	100605	-1159
31538	9940385	5154483	3	0	102	100607	-1160
31539	9940385	5154483	1	0	102	100603	-1157
31540	9940386	5154483	1	0	102	100598	-1153
31541	9940387	5154483	0	0	102	100602	-1156
31542	9940389	5154483	3	0	102	100603	-1157
31543	9940389	5154483	5	0	102	100609	-1162
31544	9940390	5154483	5	0	102	100610	-1163
31545	9940392	5154484	3	0	102	100604	-1158
31546	9940393	5154484	1	0	102	100600	-1154
31547	9940395	5154484	1	0	102	100605	-1159
31548	9940395	5154484	7	0	102	100604	-1158
31549	9940395	5154484	9	0	102	100602	-1156
31550	9940395	5154484	7	0	102	100604	-1158
31551	9940395	5154484	42	0	102	100601	-1155
31552	9940395	5154484	18	0	102	100608	-1161
31553	9940395	5154484	14	0	102	100605	-1159
31554	9940396	5154484	18	654	102	100599	-1153
31555	9940396	5154485	0	654	102	100601	-1155
31556	9940396	5154485	0	544	102	100598	-1153
31557	9940396	5154484	520	854	102	100602	-1156
31558	9940395	5154484	920	1292	102	100598	-1153
31559	9940398	5154482	1266	1592	102	100603	-1157
31560	9940403	5154479	1468	1475	102	100597	-1152
31561	9940411	5154476	1653	1660	102	100602	-1156
31562	9940418	5154472	1683	1768	102	100599	-1153
31563	9940424	5154468	1759	1918	102	100597	-1152
31564	9940433	5154463	1953	1988	102	100600	-1154
31565	9940443	5154458	2044	2027	101	100591	-1147
31566	9940458	5154453	2040	2031	101	100593	-1148
31567	9940476	5154448	2081	2084	101	100592	-1148
31568	9940495	5154443	2009	2081	101	100591	-1147
31569	9940517	5154438	2070	1857	101	100599	-1153
31570	9940536	5154432	2018	2079	101	100581	-1138
31571	9940556	5154427	2046	2146	101	100591	-1147
31572	9940573	5154423	1970	2099	100	100578	-1136
31573	9940590	5154418	1964	2089	100	100588	-1144
31574	9940607	5154413	1927	2079	100	100589	-1145
